experiment,prediction_idx,euclidean_px,angular_deg
Heatmap (ResNet-18),82,52.9329,3.7333
Heatmap (ResNet-18),83,248.9915,37.3966
Heatmap (ResNet-18),84,502.6313,42.778
Heatmap (ResNet-18),85,139.5723,101.3696
Heatmap (ResNet-18),86,376.0439,60.2551
Heatmap (ResNet-18),87,85.4557,9.1588
Heatmap (ResNet-18),88,286.8866,41.5772
Heatmap (ResNet-18),89,84.2264,13.3371
Heatmap (ResNet-18),90,123.5066,12.0091
Heatmap (ResNet-18),91,340.0159,25.8552
Heatmap (ResNet-18),92,201.8793,4.4955
Heatmap (ResNet-18),93,97.6501,4.9412
Heatmap (ResNet-18),94,102.0239,2.6168
Heatmap (ResNet-18),95,124.3762,2.0445
Heatmap (ResNet-18),96,111.5452,1.1432
Heatmap (ResNet-18),97,161.39,0.7875
Heatmap (ResNet-18),98,67.8885,3.1974
Heatmap (ResNet-18),99,92.3429,0.1081
ResNet-50,0,72.8944,3.549
ResNet-50,1,113.2441,34.3123
ResNet-50,2,81.8228,23.4414
ResNet-50,3,69.8517,37.0564
ResNet-50,4,38.4482,19.8484
ResNet-50,5,40.6093,4.5377
ResNet-50,6,20.4668,18.1107
ResNet-50,7,45.7712,6.8548
ResNet-50,8,9.9337,16.9878
ResNet-50,9,46.5131,12.2692
ResNet-50,10,4.7078,16.716
ResNet-50,11,79.4164,15.9006
ResNet-50,12,75.7093,22.5321
ResNet-50,13,17.1619,24.5374
ResNet-50,14,26.4792,8.2109
ResNet-50,15,77.062,0.0005
ResNet-50,16,26.4214,2.0295
ResNet-50,17,77.4599,4.7649
ResNet-50,18,26.1871,9.2064
ResNet-50,19,68.5862,34.8829
ResNet-50,20,2.2724,1.7706
ResNet-50,21,62.9767,5.4382
ResNet-50,22,12.136,0.445
ResNet-50,23,88.5245,8.2512
ResNet-50,24,23.2619,1.117
ResNet-50,25,137.4225,10.5841
ResNet-50,26,154.0541,9.2663
ResNet-50,27,26.5656,1.6687
ResNet-50,28,176.9027,20.5092
ResNet-50,29,118.21,17.015
ResNet-50,30,186.6947,20.2698
ResNet-50,31,106.481,13.0217
ResNet-50,32,38.7301,0.6853
ResNet-50,33,61.0036,1.5696
ResNet-50,34,40.0549,7.0832
ResNet-50,35,61.5582,7.3183
ResNet-50,36,11.9487,7.6157
ResNet-50,37,71.0842,7.5198
ResNet-50,38,26.4374,8.2236
ResNet-50,39,58.2648,5.0893
